;token;freq
0;бухгалтер;26
1;бухгалтера;20
2;работы;13
3;специалист;13
4;должен;10
5;также;10
6;компании;10
7;профессии;9
8;работа;9
9;предприятия;8
10;учет;8
11;поэтому;7
12;отчетности;7
13;деятельности;7
14;обязанности;6
15;заработной;6
16;бухгалтеров;6
17;бухгалтеры;6
18;финансовой;5
19;могут;5
20;платы;5
21;организации;5
22;работать;5
23;которые;5
24;время;5
25;других;4
26;зависимости;4
27;человек;4
28;документации;4
29;бюджета;4
30;входит;4
31;опыт;4
32;образование;4
33;рф;4
34;бухгалтерии;4
35;начисление;4
36;кроме;4
37;государственных;4
38;бухгалтеру;4
39;экономики;4
40;профессия;4
41;сфере;4
42;день;4
43;правило;4
44;ответственность;4
45;обязанностей;4
46;люди;4
47;вакансии;4
48;государственном;4
49;существует;4
50;предприятиях;4
51;некоторые;4
52;работу;3
53;такие;3
54;ориентироваться;3
55;курсы;3
56;ведение;3
57;чаще;3
58;любой;3
59;постепенно;3
60;деле;3
61;жизни;3
62;имеет;3
63;разбираться;3
64;документов;3
65;деньги;3
66;нужны;3
67;главного;3
68;одной;3
69;стороны;3
70;специалисты;3
71;министерством;3
72;достаточно;3
73;сразу;3
74;бухгалтерам;3
75;статья;3
76;получить;3
77;постоянные;3
78;учета;3
79;сотрудника;3
80;сектора;3
81;сотрудник;3
82;необходимо;3
83;высшее;3
84;налоговой;3
85;первый;3
86;имеют;3
87;требования;3
88;составление;3
89;бухгалтерские;3
90;стать;3
91;обычно;3
92;внимательность;3
93;обладать;3
94;университете;3
95;труда;3
96;выполняет;3
97;например;3
98;которых;3
99;бухгалтерский;3
100;правильно;2
101;директора;2
102;знать;2
103;классов;2
104;финансового;2
105;позицию;2
106;финансовыми;2
107;основы;2
108;специальность;2
109;должность;2
110;экономическом;2
111;самых;2
112;эта;2
113;следить;2
114;профессию;2
115;иркутском;2
116;уметь;2
117;специальности;2
118;требует;2
119;компаниях;2
120;умение;2
121;сибирском;2
122;желательно;2
123;бухгалтерской;2
124;законодательство;2
125;финансовые;2
126;финансов;2
127;иметь;2
128;расчет;2
129;знания;2
130;ответственности;2
131;одну;2
132;независимо;2
133;хороший;2
134;является;2
135;полный;2
136;среди;2
137;требуется;2
138;фирм;2
139;случае;2
140;соответственно;2
141;контроль;2
142;четко;2
143;несколько;2
144;финансовых;2
145;зачастую;2
146;выявление;2
147;деятельность;2
148;ряд;2
149;рабочий;2
150;учреждения;2
151;сайте;2
152;irk;2
153;ru;2
154;особенностей;2
155;законодательства;2
156;выше;2
157;естественно;2
158;представить;2
159;график;2
160;бухгалтерских;2
161;касса;2
162;фирме;2
163;уровень;2
164;организациях;2
165;претендовать;2
166;либо;2
167;именно;2
168;работает;2
169;наличие;2
170;непосредственно;2
171;сдача;2
172;главный;2
173;работе;2
174;выплат;2
175;первичной;2
176;года;2
177;зарплаты;2
178;налогового;2
179;множество;2
180;этому;2
181;связанных;2
182;сотрудников;2
183;функции;2
184;качества;2
185;коммерческого;2
186;профессиональные;2
187;специалистом;2
188;базе;2
189;торгово;2
190;составляет;2
191;образ;2
192;контролируется;2
193;работодателем;2
194;налогам;2
195;законодательстве;2
196;часто;2
197;крайне;2
198;квалифицированный;2
199;вопросах;2
200;работник;2
201;очень;2
202;сложная;2
203;таких;2
204;ошибка;2
205;вещах;2
206;людей;2
207;риск;2
208;кодекса;2
209;иркутске;2
210;готовят;2
211;денег;2
212;оформление;2
213;обучения;2
214;портит;2
215;питание;2
216;предприятии;2
217;особенно;2
218;целый;2
219;зарплату;2
220;рассчитывать;2
221;налоговые;2
222;степени;2
223;здоровье;2
224;воздухе;2
225;свежем;2
226;прогулки;2
227;материалов;2
228;отличаться;2
229;слишком;2
230;отчетов;2
231;занимается;2
232;выдача;2
233;зрение;2
234;самом;2
235;минфина;2
236;предлагают;2
237;зависит;2
238;времени;2
239;задач;2
240;колледжах;2
241;изменения;2
242;учреждений;2
243;связана;2
244;сферы;2
245;любых;2
246;права;2
